Reference,Published,Method,Geography,Scenario name,Estimate year,Value (TWh),Pinpoint,Notes
"Koomey, 2007a",2007,Bottom-up,USA,Historical estimate,2003,35.0,Table 6,"Total electricity consumption (including cooling and aux equipment), excluding storage and network."
"Koomey, 2007a",2007,Bottom-up,Global,Historical estimate,2003,90.0,Table 6,"Total electricity consumption (including cooling and aux equipment), excluding storage and network."
"Koomey, 2007a",2007,Bottom-up,USA,Historical estimate,2004,40.0,Table 6,"Total electricity consumption (including cooling and aux equipment), excluding storage and network."
"Koomey, 2007a",2007,Bottom-up,Global,Historical estimate,2004,109.0,Table 6,"Total electricity consumption (including cooling and aux equipment), excluding storage and network."
"Koomey, 2007a",2007,Bottom-up,USA,Historical estimate,2005,45.0,Table 6,"Total electricity consumption (including cooling and aux equipment), excluding storage and network."
"Koomey, 2007a",2007,Bottom-up,Global,Historical estimate,2005,123.0,Table 6,"Total electricity consumption (including cooling and aux equipment), excluding storage and network."
"Brown et al., 2007",2007,Bottom-up,USA,Historical estimate,2006,61.4,Figure 2-2,"Total electricity consumption, including storage and network."
"Brown et al., 2007",2007,Bottom-up,USA,Projection: Historical trends,2011,124.5,Table 3-7,"Total electricity consumption, including storage and network."
"Brown et al., 2007",2007,Bottom-up,USA,Projection: Current efficiency trends,2011,107.4,Table 3-7,"Total electricity consumption, including storage and network."
"Brown et al., 2007",2007,Bottom-up,USA,Projection: Improved operation,2011,84.0,Table 3-7,"Total electricity consumption, including storage and network."
"Brown et al., 2007",2007,Bottom-up,USA,Projection: Best practice,2011,47.7,Table 3-7,"Total electricity consumption, including storage and network."
"Brown et al., 2007",2007,Bottom-up,USA,Projection: State-of-the-art,2011,33.6,Table 3-7,"Total electricity consumption, including storage and network."
"Koomey, 2007b",2007,Bottom-up,USA,Historical estimate,2000,23.3,Table 4,"Total electricity consumption (including cooling and aux equipment), excluding storage and network."
"Koomey, 2007b",2007,Bottom-up,Global,Historical estimate,2000,58.4,Table 4,"Total electricity consumption (including cooling and aux equipment), excluding storage and network."
"Koomey, 2007b",2007,Bottom-up,USA,Historical estimate,2005,45.1,Table 5,"Total electricity consumption (including cooling and aux equipment), excluding storage and network."
"Koomey, 2007b",2007,Bottom-up,Global,Historical estimate,2005,122.9,Table 5,"Total electricity consumption (including cooling and aux equipment), excluding storage and network."
"Bio Intelligence Service, 2008",2008,Extrapolation,EU25,Business as usual,2005,29.1,Table 59,
"Bio Intelligence Service, 2008",2008,Extrapolation,EU26,Business as usual,2010,55.8,Table 59,
"Bio Intelligence Service, 2008",2008,Extrapolation,EU27,Business as usual,2020,96.0,Table 59,
"Bio Intelligence Service, 2008",2008,Extrapolation,EU28,Eco,2005,29.1,Table 60,
"Bio Intelligence Service, 2008",2008,Extrapolation,EU29,Eco,2010,50.2,Table 60,
"Bio Intelligence Service, 2008",2008,Extrapolation,EU30,Eco,2020,69.8,Table 60,
"Koomey, 2008",2008,Bottom-up,USA,Historical estimate,2000,28.2,Table 2,"Total electricity consumption, including storage and network."
"Koomey, 2008",2008,Bottom-up,Global,Historical estimate,2000,70.8,Table 2,"Total electricity consumption, including storage and network."
