Source (Grouped for Visualisations),Source (Pre-Group),Authors,Citation Count,Paper (Journal) Year,Source Type,Source Year,Source Use,Source Reliability,Source Use Count,,Unique Sources,Unique Sources (Reliability),Unique Sources (Type),Source Year,Times cited,,Source Year (no blanks)
AC4DC,AC4DC,"Hintemann, 2015a",0,2015,Data without source,n/a,"MS, SS, StS, NtS, IS",NS,5,,AC4DC,NS,Data without source,,1,,2006
Advanced Micro Devices,Advanced Micro Devices,"Masanet et al., 2011",105,2011,Data with source,2006,SS,NF,1,,Advanced Micro Devices,NF,Data with source,2006,1,,2015
"Andrae & Edler, 2015","Andrae & Edler, 2015","Andrae, 2019a",12,2019,Paper (Journal) ,2015,"MS, SS, StS, IS",EL,4,,"Andrae & Edler, 2015",EL,Paper (Journal) ,2015,8,,2019
"Andrae & Edler, 2015","Andrae & Edler, 2015","Andrae, 2019b",2,2019,Paper (Journal) ,2015,"MS, SS, NtS",EL,3,,"Andrae, 2019a",EL,Report (Self-Published),2019,2,,2019
"Andrae & Edler, 2015","Andrae & Edler, 2015","Andrae, 2019c",19,2019,Paper (Journal) ,2015,"MS, SS, NtS",EL,3,,"Andrae, 2019b",EL,Report (Self-Published),2019,1,,2019
"Andrae & Edler, 2015","Andrae & Edler, 2015","The Shift Project, 2019",28,2019,Paper (Journal) ,2015,"MS, SS, StS, NtS",EL,4,,"Andrae, 2019c",EL,Paper (Journal),2019,1,,2019
"Andrae & Edler, 2015","Andrae & Edler, 2015","Andrae, 2020a",23,2020,Paper (Journal) ,2015,"MS, SS, StS, NtS, IS",EL,5,,"Andrae, 2019d",EL,Paper (Journal) ,2019,1,,2019
"Andrae & Edler, 2015","Andrae & Edler, 2015","Andrae, 2020b",21,2020,Paper (Journal) ,2015,SS,EL,1,,"Andrae, 2019e",EL,Presentation,2019,1,,2020
"Andrae & Edler, 2015","Andrae & Edler, 2015","Montevecchi et al., 2020",8,2020,Paper (Journal) ,2015,"SS, StS, NtS, IS",EL,4,,"Andrae, 2020a",EL,Paper (Journal) ,2020,1,,2011
"Andrae & Edler, 2015","Andrae & Edler, 2015","Liu et al., 2020",24,2020,Paper (Journal) ,2015,"SS, StS, NtS, IS",EL,4,,"Arnclan Computer Services, 2011",BL,Report,2011,1,,2015
"Andrae, 2019a","Andrae, 2019a","Andrae, 2019c",19,2019,Report (Self-Published),2019,"MS, SS",EL,2,,"ASHRAE, 2015",EL,Report,2015,2,,2018
"Andrae, 2019a","Andrae, 2019a","Montevecchi et al., 2020",8,2020,Report (Self-Published),2019,"SS, StS, NtS, IS",EL,4,,"Aslan et al., 2018",EL,Paper (Journal) ,2018,1,,2017
"Andrae, 2019b","Andrae, 2019b","Andrae, 2019c",19,2019,Report (Self-Published),2019,"MS, SS",EL,2,,ATandT,NS,Data without source,,1,,2013
"Andrae, 2019c","Andrae, 2019c","Andrae, 2020a",23,2020,Paper (Journal),2019,"SS, StS, NtS, IS",EL,4,,"Avgerinou, Bertoldi & Castellazzi, 2017",EL,Paper (Journal) ,2017,3,,2018
"Andrae, 2019d","Andrae, 2019d","Andrae, 2020a",23,2020,Paper (Journal) ,2019,"MS, SS, StS, NtS, IS",EL,5,,"Barroso et al., 2013",EL,Report,2013,2,,2007
"Andrae, 2019e","Andrae, 2019e","Montevecchi et al., 2020",8,2020,Presentation,2019,"SS, StS, NtS, IS",EL,4,,"Bashroush, 2018",EL,Paper (Journal) ,2018,1,,2007
"Andrae, 2020a","Andrae, 2020a","Andrae, 2020b",21,2020,Paper (Journal) ,2020,NtS,EL,1,,"Battles et al., 2007",EL,Report,2007,1,,2008
"Arnclan Computer Services, 2011","Arnclan Computer Services, 2011","Liua et al., 2014",23,2014,Report,2011,SS,BL,1,,BCG,NS,Data without source,,1,,2012
"ASHRAE, 2015","ASHRAE, 2015","Shehabi et al., 2016",691,2016,Report,2015,StS,EL,1,,"Belady & Malone, 2007",EL,Paper (Conference),2007,1,,1982
"ASHRAE, 2015","ASHRAE, 2015","Shehabi et al., 2018",68,2018,Report,2015,StS,EL,1,,"Belady et al., 2008",EL,Report,2008,1,,2015
"Aslan et al., 2018","Aslan et al., 2018","Koot & Wijnhoven, 2021",19,2021,Paper (Journal) ,2018,NtS,EL,1,,"Bennett & Delforge, 2012",EL,Report,2012,1,,2010
ATandT,ATandT,"GeSI & BCG, 2012",71,2012,Data without source,n/a,"SS, IS",NS,2,,"Bennett, 1982",EL,Paper (Journal) ,1982,1,,2014
"Avgerinou, Bertoldi & Castellazzi, 2017","Avgerinou, Bertoldi & Castellazzi, 2017","Masanet et al., 2020",265,2020,Paper (Journal) ,2017,IS,EL,1,,"Bio by Deloitte, 2015",EL,Report,2015,1,,2007
"Avgerinou, Bertoldi & Castellazzi, 2017","Avgerinou, Bertoldi & Castellazzi, 2017","Montevecchi et al., 2020",8,2020,Paper (Journal) ,2017,"SS, StS, NtS, IS",EL,4,,"Bozman & Broderick, 2010",EL,Report,2010,1,,2008
"Avgerinou, Bertoldi & Castellazzi, 2017","Avgerinou, Bertoldi & Castellazzi, 2017","Liu et al., 2020",24,2020,Paper (Journal) ,2017,IS,EL,1,,"BroadGroup, 2014",NS,Data without source,2014,1,,2011
"Barroso et al., 2013","Barroso et al., 2013","Shehabi et al., 2016",691,2016,Report,2013,SS,EL,1,,"Brown et al., 2007",EL,Report,2007,9,,2013
"Barroso et al., 2013","Barroso et al., 2013","Koot & Wijnhoven, 2021",19,2021,Report,2013,IS,EL,1,,"Brown et al., 2008",EL,Report,2008,1,,2019
"Bashroush, 2018","Bashroush, 2018","Andrae, 2019b",2,2019,Paper (Journal) ,2018,SS,EL,1,,"Carbon Disclosure Project, 2011",EL,Report,2011,1,,2015
"Battles et al., 2007","Battles et al., 2007","Masanet et al., 2011",105,2011,Report,2007,StS,EL,1,,CBRE,EL,Report,,7,,2016
BCG,BCG,"GeSI & BCG, 2012",71,2012,Data without source,n/a,"SS, IS",NS,2,,"CEET, 2013",EL,Report,2013,1,,2013
"Belady & Malone, 2007","Belady & Malone, 2007","Koomey, 2008",581,2008,Paper (Conference),2007,IS,EL,1,,"CESI, 2019",NF,Report,2019,1,,2012
